land,jahr,hpi,arbeitslosenrate,inflation,leitzinsen,bev_wachstum,einkommen,migration,corona_dummy
Italy,2022,106.9,8.1,114.2,2.5,32310,31847.0,410985.0,0
Italy,2023,108.3,7.7,120.9,4.5,32560,32749.0,439658.0,0
Italy,2024,111.7,6.5,122.3,3.15,32810,,,0
Cyprus,2015,100.0,15.0,100.0,0.05,21140,20699.0,15364.0,0
Cyprus,2016,100.27,13.0,98.78,0.0,22410,20759.0,18590.0,0
Cyprus,2017,102.52,11.1,99.45,0.0,23500,21124.0,22458.0,0
Cyprus,2018,104.32,8.4,100.23,0.0,24690,21472.0,25740.0,0
Cyprus,2019,108.2,7.2,100.78,0.0,25790,22397.0,27553.0,0
Cyprus,2020,107.98,7.6,99.67,0.0,24630,22342.0,22850.0,1
Cyprus,2021,104.33,7.2,101.92,0.0,27030,23552.0,25473.0,1
Cyprus,2022,107.13,6.3,110.17,2.5,28440,25338.0,37558.0,0
Cyprus,2023,110.27,5.8,114.5,4.5,28670,26430.0,40761.0,0
Cyprus,2024,112.62,4.9,117.09,3.15,29190,,,0
Latvia,2015,100.0,9.9,100.0,0.05,13750,12075.0,9479.0,0
Latvia,2016,108.49,9.7,100.1,0.0,14230,12937.0,8345.0,0
Latvia,2017,118.01,8.7,103.0,0.0,14850,13828.0,9916.0,0
Latvia,2018,129.3,7.4,105.63,0.0,15610,14833.0,10909.0,0
Latvia,2019,140.88,6.3,108.53,0.0,15820,15491.0,11223.0,0
Latvia,2020,145.77,8.1,108.62,0.0,15370,15887.0,8840.0,1
Latvia,2021,161.65,7.6,112.14,0.0,16580,17018.0,12689.0,1
Latvia,2022,184.01,6.9,131.47,2.5,16870,19187.0,38708.0,0
Latvia,2023,190.89,6.5,143.38,4.5,17390,22293.0,18710.0,0
Latvia,2024,199.25,6.9,145.32,3.15,17510,,,0
Lithuania,2015,100.0,9.1,100.0,0.05,14630,10775.0,31085.0,0
Lithuania,2016,105.4,7.9,100.68,0.0,15200,11440.0,31395.0,0
Lithuania,2017,114.8,7.1,104.42,0.0,16090,12534.0,33305.0,0
Lithuania,2018,123.18,6.2,107.07,0.0,17030,13486.0,37420.0,0
Lithuania,2019,131.61,6.3,109.47,0.0,17870,18337.0,46526.0,0
Lithuania,2020,141.18,8.5,110.63,0.0,17890,19476.0,46020.0,1
Lithuania,2021,163.84,7.1,115.75,0.0,19040,21720.0,44858.0,1
Lithuania,2022,195.05,6.0,137.57,2.5,19360,24294.0,87367.0,0
Lithuania,2023,214.2,6.9,149.52,4.5,19160,27178.0,66682.0,0
Lithuania,2024,235.02,7.1,150.79,3.15,19580,,,0
Luxembourg,2015,100.0,6.7,100.0,0.05,102530,61396.0,23803.0,0
Luxembourg,2016,106.01,6.3,100.04,0.0,104920,62037.0,22888.0,0
Luxembourg,2017,111.96,5.5,102.15,0.0,104020,64316.0,24379.0,0
Luxembourg,2018,119.86,5.6,104.21,0.0,103640,65570.0,24644.0,0
Luxembourg,2019,131.99,5.6,105.93,0.0,104310,66702.0,26668.0,0
Luxembourg,2020,151.12,6.8,105.93,0.0,102190,67748.0,22490.0,1
Luxembourg,2021,172.15,5.3,109.61,0.0,107570,71548.0,25335.0,1
Luxembourg,2022,188.6,4.6,118.55,2.5,104100,75409.0,31433.0,0
Luxembourg,2023,171.48,5.2,122.02,4.5,101450,81064.0,26964.0,0
Luxembourg,2024,162.5,6.4,124.77,3.15,100880,,,0
Malta,2015,100.0,5.4,100.0,0.05,25500,22488.0,18202.0,0
Malta,2016,105.45,4.7,100.9,0.0,25950,23169.0,18116.0,0
Malta,2017,111.03,4.0,102.18,0.0,28510,24072.0,22750.0,0
Malta,2018,117.45,4.0,103.95,0.0,29490,25868.0,27394.0,0
Malta,2019,124.65,4.1,105.54,0.0,29460,26853.0,29304.0,0
Malta,2020,128.86,4.9,106.37,0.0,27890,27016.0,14751.0,1
Malta,2021,135.44,3.8,107.12,0.0,31410,28172.0,16963.0,1
Malta,2022,144.45,3.5,113.69,2.5,31910,29408.0,34964.0,0
Malta,2023,153.42,3.5,120.01,4.5,32740,29989.0,42239.0,0
Malta,2024,163.31,3.1,122.94,3.15,33610,,,0
Netherlands,2015,100.0,7.9,100.0,0.05,45530,,166872.0,0
Netherlands,2016,105.29,7.0,100.11,0.0,46380,,189232.0,0
Netherlands,2017,113.81,5.9,101.4,0.0,47390,,189646.0,0
Netherlands,2018,124.4,4.9,103.02,0.0,48180,,194306.0,0
Netherlands,2019,133.38,4.4,105.78,0.0,48970,,215756.0,0
Netherlands,2020,144.07,4.9,106.96,0.0,46810,,182244.0,1
Netherlands,2021,164.94,4.2,109.98,0.0,49490,,214105.0,1
Netherlands,2022,186.84,3.5,122.78,2.5,51480,,326798.0,0
Netherlands,2023,183.26,3.6,127.81,4.5,50660,,274597.0,0
Netherlands,2024,198.2,3.7,131.92,3.15,50880,,,0
Austria,2015,100.0,6.1,100.0,0.05,43200,41868.0,166323.0,0
Austria,2016,106.71,6.5,100.97,0.0,43550,42876.0,129509.0,0
Austria,2017,112.14,5.9,103.22,0.0,44260,43579.0,111801.0,0
Austria,2018,118.83,5.2,105.41,0.0,45140,44646.0,105633.0,0
Austria,2019,125.97,4.8,106.98,0.0,45730,45727.0,109167.0,0
Austria,2020,135.52,6.0,108.47,0.0,42650,46460.0,103565.0,1
Austria,2021,151.02,6.2,111.46,0.0,44520,48166.0,118511.0,1
Austria,2022,168.49,4.8,121.07,2.5,46350,50741.0,201622.0,0
Austria,2023,163.68,5.1,130.4,4.5,45510,54508.0,147591.0,0
Austria,2024,163.28,5.2,134.21,3.15,44830,,,0
Portugal,2015,100.0,13.0,100.0,0.05,18920,16451.0,36849.0,0
Portugal,2016,107.12,11.5,100.64,0.0,19350,16743.0,37644.0,0
Portugal,2017,117.02,9.2,102.2,0.0,20020,17116.0,46649.0,0
Portugal,2018,129.03,7.2,103.4,0.0,20620,17601.0,55357.0,0
Portugal,2019,141.88,6.6,103.71,0.0,21150,18518.0,95382.0,0
Portugal,2020,154.33,7.1,103.58,0.0,19360,18860.0,83654.0,1
Portugal,2021,168.84,6.7,104.55,0.0,20390,19851.0,97119.0,1
Portugal,2022,190.17,6.2,113.03,2.5,21690,21131.0,167098.0,0
Portugal,2023,205.76,6.5,118.98,4.5,22020,22933.0,189367.0,0
Portugal,2024,224.44,6.5,122.15,3.15,22230,,,0
Slovenia,2015,100.0,9.0,100.0,0.05,20170,22098.0,15420.0,0
Slovenia,2016,103.25,8.0,99.85,0.0,20770,22834.0,16623.0,0
Slovenia,2017,111.79,6.6,101.4,0.0,21830,23718.0,18808.0,0
Slovenia,2018,121.55,5.1,103.36,0.0,22720,24525.0,28455.0,0
Slovenia,2019,129.69,4.4,105.11,0.0,23330,25700.0,31319.0,0
Slovenia,2020,135.66,5.0,104.82,0.0,22230,26610.0,36110.0,1
Slovenia,2021,151.32,4.8,106.97,0.0,24040,28654.0,23624.0,1
Slovenia,2022,173.65,4.0,116.94,2.5,24660,30245.0,35613.0,0
Slovenia,2023,186.22,3.7,125.38,4.5,25050,33081.0,33939.0,0
Slovenia,2024,199.91,3.7,127.87,3.15,25380,,,0
Slovakia,2015,100.0,11.5,100.0,0.05,16000,12370.0,6997.0,0
Slovakia,2016,106.67,9.6,99.52,0.0,16280,12725.0,7686.0,0
Slovakia,2017,112.91,8.1,100.9,0.0,16730,13317.0,7188.0,0
Slovakia,2018,121.32,6.5,103.46,0.0,17380,13997.0,7253.0,0
Slovakia,2019,132.4,5.7,106.33,0.0,17760,14857.0,7016.0,0
Slovakia,2020,145.02,6.7,108.47,0.0,17270,15346.0,6775.0,1
Slovakia,2021,154.27,6.8,111.53,0.0,18320,16242.0,5733.0,1
Slovakia,2022,175.41,6.1,125.05,2.5,18350,17286.0,5463.0,0
Slovakia,2023,175.08,5.8,138.79,4.5,18750,19001.0,5923.0,0
Slovakia,2024,181.67,5.3,143.17,3.15,19130,,,0
Finland,2015,100.0,9.4,100.0,0.05,40700,40544.0,28746.0,0
Finland,2016,101.29,8.9,100.39,0.0,41640,40985.0,34905.0,0
Finland,2017,102.39,8.7,101.23,0.0,42910,41520.0,31797.0,0
Finland,2018,103.34,7.5,102.42,0.0,43360,42321.0,31106.0,0
Finland,2019,103.77,6.8,103.58,0.0,43910,43483.0,32758.0,0
Finland,2020,105.6,7.7,103.98,0.0,42740,43805.0,32898.0,1
Finland,2021,110.45,7.7,106.12,0.0,43800,45351.0,36364.0,1
Finland,2022,111.75,6.8,113.74,2.5,44010,46621.0,49998.0,0
Finland,2023,105.41,7.2,118.67,4.5,43430,48391.0,73236.0,0
Finland,2024,101.69,8.4,119.83,3.15,43040,,,0
